model,roc_auc,pr_auc,accuracy,train_time_s
HistGradientBoosting,0.9273857130401019,0.8255142179452772,0.8720594558073829,4.4787821769714355
Gradient Boosting,0.9241455359862967,0.8188335786200441,0.8722437196732388,16.640555143356323
AdaBoost,0.9115650263324565,0.7854395869948719,0.8581782445795713,11.824328899383545
Random Forest,0.8939143138705042,0.7434405189647275,0.8469995700509797,1.7185578346252441
Decision Tree,0.8954477061269824,0.7230330599899888,0.8575640316933849,0.13937687873840332
Dummy (most_frequent),0.5,0.23622627602727106,0.7637737239727289,0.2559034824371338
