feature,Ridge,Lasso,ElasticNet
TV,406.90245771296736,407.7521355874579,220.38740101453723
Facebook,141.00529727673455,139.56041176816927,209.57819755928506
Google,206.73971280310732,206.11571464952812,137.25598681558705
