model,precision,recall,f1
Count + Multinomial,0.9777777777777777,0.8461538461538461,0.9072164948453608
TFIDF + Bernoulli,1.0,0.6442307692307693,0.783625730994152
TFIDF + Multinomial,1.0,0.49038461538461536,0.6580645161290323
