degree,n_columns,rmse_train,rmse_test
1,4,4.570932638760015,4.502509880840363
2,14,4.302556506152049,4.27899115133542
3,34,4.2434373770093226,4.205062690854483
4,69,4.207224742703102,4.164944148995056
5,125,4.187776860844093,4.148747489083086
